utc_time,current_values,hr1_tech_content,secondary_data
2022-04-11 04:09:00.000097,"2,157.00 -26.05    -1.19%
00:08:55 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (2)Sell (5)
Pivot PointsApr 11, 2022 04:00AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:00AM GMT
Name
Value
Action
RSI(14)
48.551
Neutral
STOCH(9,6)
54.210
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
10.110
Buy
ADX(14)
27.214
Buy
Williams %R
-87.078
Oversold
CCI(14)
-154.8545
Sell
ATR(14)
12.8250
Less Volatility
Highs/Lows(14)
-11.7072
Sell
Ultimate Oscillator
39.674
Sell
ROC
-0.599
Sell
Bull/Bear Power(13)
-26.1740
Sell
Buy: 2
Sell: 5
Neutral: 2


Summary:Sell
Moving AveragesApr 11, 2022 04:00AM GMT
Period
Simple
Exponential
MA5
2171.49
Sell
2167.12
Sell
MA10
2174.81
Sell
2169.84
Sell
MA20
2167.15
Sell
2166.01
Sell
MA50
2136.23
Buy
2130.46
Buy
MA100
2061.16
Buy
2094.53
Buy
MA200
2045.00
Buy
2095.20
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 247,029
Bid/Ask: 2,157.00 / 2,157.20
Day's Range: 2,150.40 - 2,194.10"
2022-04-11 04:11:00.000080,"2,156.90 -26.15    -1.20%
00:10:30 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (3)Sell (5)
Pivot PointsApr 11, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
49.717
Neutral
STOCH(9,6)
55.025
Buy
STOCHRSI(14)
4.448
Oversold
MACD(12,26)
10.270
Buy
ADX(14)
27.214
Buy
Williams %R
-82.188
Oversold
CCI(14)
-140.6863
Sell
ATR(14)
13.1929
Less Volatility
Highs/Lows(14)
-9.5535
Sell
Ultimate Oscillator
40.390
Sell
ROC
-0.503
Sell
Bull/Bear Power(13)
-23.1239
Sell
Buy: 3
Sell: 5
Neutral: 1


Summary:Sell
Moving AveragesApr 11, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
2171.91
Sell
2167.82
Sell
MA10
2175.03
Sell
2170.22
Sell
MA20
2167.26
Sell
2166.21
Sell
MA50
2136.27
Buy
2130.54
Buy
MA100
2061.18
Buy
2094.57
Buy
MA200
2045.01
Buy
2095.22
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 252,659
Bid/Ask: 2,156.85 / 2,156.90
Day's Range: 2,150.40 - 2,194.10"
2022-04-11 04:13:00.003825,"2,153.25 -29.80    -1.37%
00:12:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (3)Sell (5)
Pivot PointsApr 11, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
49.717
Neutral
STOCH(9,6)
55.025
Buy
STOCHRSI(14)
4.448
Oversold
MACD(12,26)
10.270
Buy
ADX(14)
27.214
Buy
Williams %R
-82.188
Oversold
CCI(14)
-140.6863
Sell
ATR(14)
13.1929
Less Volatility
Highs/Lows(14)
-9.5535
Sell
Ultimate Oscillator
40.390
Sell
ROC
-0.503
Sell
Bull/Bear Power(13)
-23.1239
Sell
Buy: 3
Sell: 5
Neutral: 1


Summary:Sell
Moving AveragesApr 11, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
2171.91
Sell
2167.82
Sell
MA10
2175.03
Sell
2170.22
Sell
MA20
2167.26
Sell
2166.21
Sell
MA50
2136.27
Buy
2130.54
Buy
MA100
2061.18
Buy
2094.57
Buy
MA200
2045.01
Buy
2095.22
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 268,433
Bid/Ask: 2,152.45 / 2,153.25
Day's Range: 2,150.40 - 2,194.10"
2022-04-11 04:15:00.000056,"2,152.05 -31.00    -1.42%
00:14:39 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (3)Sell (5)
Pivot PointsApr 11, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
49.717
Neutral
STOCH(9,6)
55.025
Buy
STOCHRSI(14)
4.448
Oversold
MACD(12,26)
10.270
Buy
ADX(14)
27.214
Buy
Williams %R
-82.188
Oversold
CCI(14)
-140.6863
Sell
ATR(14)
13.1929
Less Volatility
Highs/Lows(14)
-9.5535
Sell
Ultimate Oscillator
40.390
Sell
ROC
-0.503
Sell
Bull/Bear Power(13)
-23.1239
Sell
Buy: 3
Sell: 5
Neutral: 1


Summary:Sell
Moving AveragesApr 11, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
2171.91
Sell
2167.82
Sell
MA10
2175.03
Sell
2170.22
Sell
MA20
2167.26
Sell
2166.21
Sell
MA50
2136.27
Buy
2130.54
Buy
MA100
2061.18
Buy
2094.57
Buy
MA200
2045.01
Buy
2095.22
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 277,933
Bid/Ask: 2,152.05 / 2,152.25
Day's Range: 2,150.40 - 2,194.10"
2022-04-11 04:17:00.000064,"2,150.45 -32.60    -1.49%
00:16:54 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (3)Sell (5)
Pivot PointsApr 11, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
49.717
Neutral
STOCH(9,6)
55.025
Buy
STOCHRSI(14)
4.448
Oversold
MACD(12,26)
10.270
Buy
ADX(14)
27.214
Buy
Williams %R
-82.188
Oversold
CCI(14)
-140.6863
Sell
ATR(14)
13.1929
Less Volatility
Highs/Lows(14)
-9.5535
Sell
Ultimate Oscillator
40.390
Sell
ROC
-0.503
Sell
Bull/Bear Power(13)
-23.1239
Sell
Buy: 3
Sell: 5
Neutral: 1


Summary:Sell
Moving AveragesApr 11, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
2171.91
Sell
2167.82
Sell
MA10
2175.03
Sell
2170.22
Sell
MA20
2167.26
Sell
2166.21
Sell
MA50
2136.27
Buy
2130.54
Buy
MA100
2061.18
Buy
2094.57
Buy
MA200
2045.01
Buy
2095.22
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 304,069
Bid/Ask: 2,150.45 / 2,151.15
Day's Range: 2,148.00 - 2,194.10"
2022-04-11 04:19:00.000079,"2,149.00 -34.05    -1.56%
00:18:56 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (3)Sell (5)
Pivot PointsApr 11, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
49.717
Neutral
STOCH(9,6)
55.025
Buy
STOCHRSI(14)
4.448
Oversold
MACD(12,26)
10.270
Buy
ADX(14)
27.214
Buy
Williams %R
-82.188
Oversold
CCI(14)
-140.6863
Sell
ATR(14)
13.1929
Less Volatility
Highs/Lows(14)
-9.5535
Sell
Ultimate Oscillator
40.390
Sell
ROC
-0.503
Sell
Bull/Bear Power(13)
-23.1239
Sell
Buy: 3
Sell: 5
Neutral: 1


Summary:Sell
Moving AveragesApr 11, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
2171.91
Sell
2167.82
Sell
MA10
2175.03
Sell
2170.22
Sell
MA20
2167.26
Sell
2166.21
Sell
MA50
2136.27
Buy
2130.54
Buy
MA100
2061.18
Buy
2094.57
Buy
MA200
2045.01
Buy
2095.22
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 310,181
Bid/Ask: 2,149.10 / 2,149.50
Day's Range: 2,148.00 - 2,194.10"
2022-04-11 04:21:00.000077,"2,151.60 -31.45    -1.44%
00:20:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (1)Sell (5)
Pivot PointsApr 11, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
45.316
Neutral
STOCH(9,6)
54.162
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
9.600
Buy
ADX(14)
26.227
Neutral
Williams %R
-96.906
Oversold
CCI(14)
-178.0959
Sell
ATR(14)
13.7000
High Volatility
Highs/Lows(14)
-17.5964
Sell
Ultimate Oscillator
37.329
Sell
ROC
-0.897
Sell
Bull/Bear Power(13)
-27.7800
Sell
Buy: 1
Sell: 5
Neutral: 3


Summary:Sell
Moving AveragesApr 11, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
2170.20
Sell
2164.97
Sell
MA10
2174.17
Sell
2168.67
Sell
MA20
2166.83
Sell
2165.40
Sell
MA50
2136.10
Buy
2130.20
Buy
MA100
2061.09
Buy
2094.40
Buy
MA200
2044.96
Buy
2095.13
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 318,348
Bid/Ask: 2,151.05 / 2,151.60
Day's Range: 2,147.70 - 2,194.10"
2022-04-11 04:23:00.000063,"2,155.75 -27.30    -1.25%
00:22:55 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (1)Sell (5)
Pivot PointsApr 11, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
45.316
Neutral
STOCH(9,6)
54.162
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
9.600
Buy
ADX(14)
26.227
Neutral
Williams %R
-96.906
Oversold
CCI(14)
-178.0959
Sell
ATR(14)
13.7000
High Volatility
Highs/Lows(14)
-17.5964
Sell
Ultimate Oscillator
37.329
Sell
ROC
-0.897
Sell
Bull/Bear Power(13)
-27.7800
Sell
Buy: 1
Sell: 5
Neutral: 3


Summary:Sell
Moving AveragesApr 11, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
2170.20
Sell
2164.97
Sell
MA10
2174.17
Sell
2168.67
Sell
MA20
2166.83
Sell
2165.40
Sell
MA50
2136.10
Buy
2130.20
Buy
MA100
2061.09
Buy
2094.40
Buy
MA200
2044.96
Buy
2095.13
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 325,478
Bid/Ask: 2,155.45 / 2,155.75
Day's Range: 2,147.70 - 2,194.10"
2022-04-11 04:25:00.000065,"2,152.00 -31.05    -1.42%
00:24:38 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (1)Sell (5)
Pivot PointsApr 11, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
45.316
Neutral
STOCH(9,6)
54.162
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
9.600
Buy
ADX(14)
26.227
Neutral
Williams %R
-96.906
Oversold
CCI(14)
-178.0959
Sell
ATR(14)
13.7000
High Volatility
Highs/Lows(14)
-17.5964
Sell
Ultimate Oscillator
37.329
Sell
ROC
-0.897
Sell
Bull/Bear Power(13)
-27.7800
Sell
Buy: 1
Sell: 5
Neutral: 3


Summary:Sell
Moving AveragesApr 11, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
2170.20
Sell
2164.97
Sell
MA10
2174.17
Sell
2168.67
Sell
MA20
2166.83
Sell
2165.40
Sell
MA50
2136.10
Buy
2130.20
Buy
MA100
2061.09
Buy
2094.40
Buy
MA200
2044.96
Buy
2095.13
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 329,007
Bid/Ask: 2,152.00 / 2,152.55
Day's Range: 2,147.70 - 2,194.10"
2022-04-11 04:27:00.000134,"2,157.45 -25.60    -1.17%
00:26:52 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE030A01027
S/N:  HINDUNILVR","Summary:Neutral
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:SellBuy (1)Sell (5)
Pivot PointsApr 11, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2097.21
2123.83
2140.11
2166.73
2183.01
2209.63
2225.91
Fibonacci
2123.83
2140.22
2150.34
2166.73
2183.12
2193.24
2209.63
Camarilla
2144.60
2148.53
2152.47
2166.73
2160.33
2164.26
2168.20
Woodie's
2092.05
2121.25
2134.95
2164.15
2177.85
2207.05
2220.75
DeMark's
-
-
2131.97
2162.66
2174.88
-
-
Technical IndicatorsApr 11, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
45.316
Neutral
STOCH(9,6)
54.162
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
9.600
Buy
ADX(14)
26.227
Neutral
Williams %R
-96.906
Oversold
CCI(14)
-178.0959
Sell
ATR(14)
13.7000
High Volatility
Highs/Lows(14)
-17.5964
Sell
Ultimate Oscillator
37.329
Sell
ROC
-0.897
Sell
Bull/Bear Power(13)
-27.7800
Sell
Buy: 1
Sell: 5
Neutral: 3


Summary:Sell
Moving AveragesApr 11, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
2170.20
Sell
2164.97
Sell
MA10
2174.17
Sell
2168.67
Sell
MA20
2166.83
Sell
2165.40
Sell
MA50
2136.10
Buy
2130.20
Buy
MA100
2061.09
Buy
2094.40
Buy
MA200
2044.96
Buy
2095.13
Buy
Buy: 6
Sell: 6


Summary:Neutral","Volume: 338,666
Bid/Ask: 2,157.40 / 2,157.45
Day's Range: 2,147.70 - 2,194.10"
