utc_time,current_values,hr1_tech_content,secondary_data
2022-04-25 04:15:00.000077,"1,557.15 -28.30    -1.78%
00:14:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
24.005
Oversold
STOCH(9,6)
37.038
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.958
Oversold
CCI(14)
-203.6074
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.4500
Sell
Ultimate Oscillator
33.358
Sell
ROC
-4.009
Sell
Bull/Bear Power(13)
-57.0180
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
1576.48
Sell
1573.49
Sell
MA10
1589.65
Sell
1584.93
Sell
MA20
1600.17
Sell
1593.27
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 929,009
Bid/Ask: 1,557.00 / 1,557.10
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:17:00.000058,"1,555.15 -30.30    -1.91%
00:16:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
24.005
Oversold
STOCH(9,6)
37.038
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.958
Oversold
CCI(14)
-203.6074
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.4500
Sell
Ultimate Oscillator
33.358
Sell
ROC
-4.009
Sell
Bull/Bear Power(13)
-57.0180
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
1576.48
Sell
1573.49
Sell
MA10
1589.65
Sell
1584.93
Sell
MA20
1600.17
Sell
1593.27
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 957,352
Bid/Ask: 1,555.10 / 1,555.15
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:19:00.000060,"1,555.85 -29.60    -1.87%
00:18:55 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:10AM GMT
Name
Value
Action
RSI(14)
24.005
Oversold
STOCH(9,6)
37.038
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.958
Oversold
CCI(14)
-203.6074
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.4500
Sell
Ultimate Oscillator
33.358
Sell
ROC
-4.009
Sell
Bull/Bear Power(13)
-57.0180
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:10AM GMT
Period
Simple
Exponential
MA5
1576.48
Sell
1573.49
Sell
MA10
1589.65
Sell
1584.93
Sell
MA20
1600.17
Sell
1593.27
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,107,850
Bid/Ask: 1,555.85 / 1,555.90
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:21:00.000059,"1,555.55 -29.90    -1.89%
00:20:55 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
24.030
Oversold
STOCH(9,6)
37.068
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.817
Oversold
CCI(14)
-203.4898
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.3500
Sell
Ultimate Oscillator
33.460
Sell
ROC
-4.003
Sell
Bull/Bear Power(13)
-57.0460
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1576.50
Sell
1573.52
Sell
MA10
1589.66
Sell
1584.94
Sell
MA20
1600.18
Sell
1593.28
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,134,447
Bid/Ask: 1,555.45 / 1,555.55
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:23:00.000072,"1,555.55 -29.90    -1.89%
00:22:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
24.030
Oversold
STOCH(9,6)
37.068
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.817
Oversold
CCI(14)
-203.4898
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.3500
Sell
Ultimate Oscillator
33.460
Sell
ROC
-4.003
Sell
Bull/Bear Power(13)
-57.0460
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1576.50
Sell
1573.52
Sell
MA10
1589.66
Sell
1584.94
Sell
MA20
1600.18
Sell
1593.28
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,156,635
Bid/Ask: 1,555.55 / 1,555.95
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:25:00.000052,"1,556.05 -29.40    -1.85%
00:24:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
24.030
Oversold
STOCH(9,6)
37.068
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.817
Oversold
CCI(14)
-203.4898
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.3500
Sell
Ultimate Oscillator
33.460
Sell
ROC
-4.003
Sell
Bull/Bear Power(13)
-57.0460
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1576.50
Sell
1573.52
Sell
MA10
1589.66
Sell
1584.94
Sell
MA20
1600.18
Sell
1593.28
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,176,151
Bid/Ask: 1,555.95 / 1,556.05
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:27:00.000056,"1,557.70 -27.75    -1.75%
00:26:36 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
24.030
Oversold
STOCH(9,6)
37.068
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.817
Oversold
CCI(14)
-203.4898
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.3500
Sell
Ultimate Oscillator
33.460
Sell
ROC
-4.003
Sell
Bull/Bear Power(13)
-57.0460
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1576.50
Sell
1573.52
Sell
MA10
1589.66
Sell
1584.94
Sell
MA20
1600.18
Sell
1593.28
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,200,918
Bid/Ask: 1,557.70 / 1,558.00
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:29:00.000056,"1,558.30 -27.15    -1.71%
00:28:06 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (7)
Pivot PointsApr 25, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
24.030
Oversold
STOCH(9,6)
37.068
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-16.200
Sell
ADX(14)
62.320
Sell
Williams %R
-97.817
Oversold
CCI(14)
-203.4898
Oversold
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-38.3500
Sell
Ultimate Oscillator
33.460
Sell
ROC
-4.003
Sell
Bull/Bear Power(13)
-57.0460
Sell
Buy: 0
Sell: 7
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1576.50
Sell
1573.52
Sell
MA10
1589.66
Sell
1584.94
Sell
MA20
1600.18
Sell
1593.28
Sell
MA50
1624.28
Sell
1634.10
Sell
MA100
1718.29
Sell
1693.62
Sell
MA200
1800.24
Sell
1742.66
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,221,095
Bid/Ask: 1,558.05 / 1,558.30
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:31:00.000054,"1,559.40 -26.05    -1.64%
00:30:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsApr 25, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
24.853
Oversold
STOCH(9,6)
38.017
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-15.940
Sell
ADX(14)
62.320
Sell
Williams %R
-93.380
Oversold
CCI(14)
-199.7652
Sell
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-35.2000
Sell
Ultimate Oscillator
36.675
Sell
ROC
-3.809
Sell
Bull/Bear Power(13)
-57.9460
Sell
Buy: 0
Sell: 8
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1577.13
Sell
1574.57
Sell
MA10
1589.97
Sell
1585.52
Sell
MA20
1600.34
Sell
1593.58
Sell
MA50
1624.34
Sell
1634.22
Sell
MA100
1718.32
Sell
1693.68
Sell
MA200
1800.26
Sell
1742.69
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,258,807
Bid/Ask: 1,559.20 / 1,559.40
Day's Range: 1,554.10 - 1,572.80"
2022-04-25 04:33:00.000053,"1,557.80 -27.65    -1.74%
00:32:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE009A01021
S/N:  INFY","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsApr 25, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1542.81
1550.23
1556.01
1563.43
1569.21
1576.63
1582.41
Fibonacci
1550.23
1555.27
1558.39
1563.43
1568.47
1571.59
1576.63
Camarilla
1558.17
1559.38
1560.59
1563.43
1563.01
1564.22
1565.43
Woodie's
1542.01
1549.83
1555.21
1563.03
1568.41
1576.23
1581.61
DeMark's
-
-
1553.13
1561.99
1566.32
-
-
Technical IndicatorsApr 25, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
24.853
Oversold
STOCH(9,6)
38.017
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-15.940
Sell
ADX(14)
62.320
Sell
Williams %R
-93.380
Oversold
CCI(14)
-199.7652
Sell
ATR(14)
10.2714
Less Volatility
Highs/Lows(14)
-35.2000
Sell
Ultimate Oscillator
36.675
Sell
ROC
-3.809
Sell
Bull/Bear Power(13)
-57.9460
Sell
Buy: 0
Sell: 8
Neutral: 0


Summary:Strong Sell
Moving AveragesApr 25, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1577.13
Sell
1574.57
Sell
MA10
1589.97
Sell
1585.52
Sell
MA20
1600.34
Sell
1593.58
Sell
MA50
1624.34
Sell
1634.22
Sell
MA100
1718.32
Sell
1693.68
Sell
MA200
1800.26
Sell
1742.69
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,288,117
Bid/Ask: 1,557.65 / 1,557.80
Day's Range: 1,554.10 - 1,572.80"
