utc_time,current_values,hr1_tech_content,secondary_data
2022-04-29 04:22:00.000071,"1,372.60 +1.25    +0.09%
00:21:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Neutral
Moving Averages:SellBuy (5)Sell (7)
Technical Indicators:BUYBuy (5)Sell (1)
Pivot PointsApr 29, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
53.262
Neutral
STOCH(9,6)
45.494
Neutral
STOCHRSI(14)
45.827
Neutral
MACD(12,26)
2.010
Buy
ADX(14)
33.259
Buy
Williams %R
-53.407
Neutral
CCI(14)
153.7768
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.240
Sell
ROC
0.095
Buy
Bull/Bear Power(13)
12.9600
Buy
Buy: 5
Sell: 1
Neutral: 5


Summary:BUY
Moving AveragesApr 29, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1373.33
Sell
1372.98
Sell
MA10
1370.17
Buy
1372.00
Buy
MA20
1370.82
Buy
1369.86
Buy
MA50
1366.00
Buy
1377.00
Sell
MA100
1399.83
Sell
1396.82
Sell
MA200
1450.94
Sell
1425.02
Sell
Buy: 5
Sell: 7


Summary:Sell","Volume: 2,133,267
Bid/Ask: 1,372.50 / 1,372.75
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:24:00.000051,"1,374.85 +3.50    +0.26%
00:23:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Neutral
Moving Averages:SellBuy (5)Sell (7)
Technical Indicators:BUYBuy (5)Sell (1)
Pivot PointsApr 29, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
53.262
Neutral
STOCH(9,6)
45.494
Neutral
STOCHRSI(14)
45.827
Neutral
MACD(12,26)
2.010
Buy
ADX(14)
33.259
Buy
Williams %R
-53.407
Neutral
CCI(14)
153.7768
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.240
Sell
ROC
0.095
Buy
Bull/Bear Power(13)
12.9600
Buy
Buy: 5
Sell: 1
Neutral: 5


Summary:BUY
Moving AveragesApr 29, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1373.33
Sell
1372.98
Sell
MA10
1370.17
Buy
1372.00
Buy
MA20
1370.82
Buy
1369.86
Buy
MA50
1366.00
Buy
1377.00
Sell
MA100
1399.83
Sell
1396.82
Sell
MA200
1450.94
Sell
1425.02
Sell
Buy: 5
Sell: 7


Summary:Sell","Volume: 2,248,107
Bid/Ask: 1,374.75 / 1,374.85
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:26:00.000053,"1,373.95 +2.60    +0.19%
00:25:45 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Neutral
Moving Averages:SellBuy (5)Sell (7)
Technical Indicators:BUYBuy (5)Sell (1)
Pivot PointsApr 29, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
53.262
Neutral
STOCH(9,6)
45.494
Neutral
STOCHRSI(14)
45.827
Neutral
MACD(12,26)
2.010
Buy
ADX(14)
33.259
Buy
Williams %R
-53.407
Neutral
CCI(14)
153.7768
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.240
Sell
ROC
0.095
Buy
Bull/Bear Power(13)
12.9600
Buy
Buy: 5
Sell: 1
Neutral: 5


Summary:BUY
Moving AveragesApr 29, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1373.33
Sell
1372.98
Sell
MA10
1370.17
Buy
1372.00
Buy
MA20
1370.82
Buy
1369.86
Buy
MA50
1366.00
Buy
1377.00
Sell
MA100
1399.83
Sell
1396.82
Sell
MA200
1450.94
Sell
1425.02
Sell
Buy: 5
Sell: 7


Summary:Sell","Volume: 2,281,711
Bid/Ask: 1,373.95 / 1,374.00
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:28:00.000057,"1,376.45 +5.10    +0.37%
00:27:15 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Neutral
Moving Averages:SellBuy (5)Sell (7)
Technical Indicators:BUYBuy (5)Sell (1)
Pivot PointsApr 29, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
53.262
Neutral
STOCH(9,6)
45.494
Neutral
STOCHRSI(14)
45.827
Neutral
MACD(12,26)
2.010
Buy
ADX(14)
33.259
Buy
Williams %R
-53.407
Neutral
CCI(14)
153.7768
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.240
Sell
ROC
0.095
Buy
Bull/Bear Power(13)
12.9600
Buy
Buy: 5
Sell: 1
Neutral: 5


Summary:BUY
Moving AveragesApr 29, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1373.33
Sell
1372.98
Sell
MA10
1370.17
Buy
1372.00
Buy
MA20
1370.82
Buy
1369.86
Buy
MA50
1366.00
Buy
1377.00
Sell
MA100
1399.83
Sell
1396.82
Sell
MA200
1450.94
Sell
1425.02
Sell
Buy: 5
Sell: 7


Summary:Sell","Volume: 2,330,356
Bid/Ask: 1,376.35 / 1,376.50
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:30:00.000056,"1,377.00 +5.65    +0.41%
00:29:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Neutral
Moving Averages:SellBuy (5)Sell (7)
Technical Indicators:BUYBuy (5)Sell (1)
Pivot PointsApr 29, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
53.262
Neutral
STOCH(9,6)
45.494
Neutral
STOCHRSI(14)
45.827
Neutral
MACD(12,26)
2.010
Buy
ADX(14)
33.259
Buy
Williams %R
-53.407
Neutral
CCI(14)
153.7768
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.240
Sell
ROC
0.095
Buy
Bull/Bear Power(13)
12.9600
Buy
Buy: 5
Sell: 1
Neutral: 5


Summary:BUY
Moving AveragesApr 29, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
1373.33
Sell
1372.98
Sell
MA10
1370.17
Buy
1372.00
Buy
MA20
1370.82
Buy
1369.86
Buy
MA50
1366.00
Buy
1377.00
Sell
MA100
1399.83
Sell
1396.82
Sell
MA200
1450.94
Sell
1425.02
Sell
Buy: 5
Sell: 7


Summary:Sell","Volume: 2,358,020
Bid/Ask: 1,377.00 / 1,377.05
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:32:00.000047,"1,376.70 +5.35    +0.39%
00:31:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:Strong BuyBuy (9)Sell (0)
Pivot PointsApr 29, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
58.376
Buy
STOCH(9,6)
48.535
Neutral
STOCHRSI(14)
78.535
Overbought
MACD(12,26)
2.330
Buy
ADX(14)
33.259
Buy
Williams %R
-35.165
Buy
CCI(14)
182.4485
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
3.3250
Buy
Ultimate Oscillator
54.390
Buy
ROC
0.397
Buy
Bull/Bear Power(13)
11.7740
Buy
Buy: 9
Sell: 0
Neutral: 1


Summary:Strong Buy
Moving AveragesApr 29, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1374.16
Buy
1374.36
Buy
MA10
1370.58
Buy
1372.75
Buy
MA20
1371.03
Buy
1370.26
Buy
MA50
1366.09
Buy
1377.17
Sell
MA100
1399.87
Sell
1396.91
Sell
MA200
1450.96
Sell
1425.06
Sell
Buy: 7
Sell: 5


Summary:Buy","Volume: 2,383,118
Bid/Ask: 1,376.40 / 1,376.55
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:34:00.000073,"1,377.80 +6.45    +0.47%
00:33:30 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:Strong BuyBuy (9)Sell (0)
Pivot PointsApr 29, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
58.376
Buy
STOCH(9,6)
48.535
Neutral
STOCHRSI(14)
78.535
Overbought
MACD(12,26)
2.330
Buy
ADX(14)
33.259
Buy
Williams %R
-35.165
Buy
CCI(14)
182.4485
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
3.3250
Buy
Ultimate Oscillator
54.390
Buy
ROC
0.397
Buy
Bull/Bear Power(13)
11.7740
Buy
Buy: 9
Sell: 0
Neutral: 1


Summary:Strong Buy
Moving AveragesApr 29, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1374.16
Buy
1374.36
Buy
MA10
1370.58
Buy
1372.75
Buy
MA20
1371.03
Buy
1370.26
Buy
MA50
1366.09
Buy
1377.17
Sell
MA100
1399.87
Sell
1396.91
Sell
MA200
1450.96
Sell
1425.06
Sell
Buy: 7
Sell: 5


Summary:Buy","Volume: 2,410,820
Bid/Ask: 1,377.70 / 1,377.80
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:36:00.000079,"1,378.10 +6.75    +0.49%
00:35:20 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:Strong BuyBuy (9)Sell (0)
Pivot PointsApr 29, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
58.376
Buy
STOCH(9,6)
48.535
Neutral
STOCHRSI(14)
78.535
Overbought
MACD(12,26)
2.330
Buy
ADX(14)
33.259
Buy
Williams %R
-35.165
Buy
CCI(14)
182.4485
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
3.3250
Buy
Ultimate Oscillator
54.390
Buy
ROC
0.397
Buy
Bull/Bear Power(13)
11.7740
Buy
Buy: 9
Sell: 0
Neutral: 1


Summary:Strong Buy
Moving AveragesApr 29, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1374.16
Buy
1374.36
Buy
MA10
1370.58
Buy
1372.75
Buy
MA20
1371.03
Buy
1370.26
Buy
MA50
1366.09
Buy
1377.17
Sell
MA100
1399.87
Sell
1396.91
Sell
MA200
1450.96
Sell
1425.06
Sell
Buy: 7
Sell: 5


Summary:Buy","Volume: 2,474,027
Bid/Ask: 1,378.00 / 1,378.10
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:38:00.000045,"1,376.70 +5.35    +0.39%
00:37:39 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:Strong BuyBuy (9)Sell (0)
Pivot PointsApr 29, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
58.376
Buy
STOCH(9,6)
48.535
Neutral
STOCHRSI(14)
78.535
Overbought
MACD(12,26)
2.330
Buy
ADX(14)
33.259
Buy
Williams %R
-35.165
Buy
CCI(14)
182.4485
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
3.3250
Buy
Ultimate Oscillator
54.390
Buy
ROC
0.397
Buy
Bull/Bear Power(13)
11.7740
Buy
Buy: 9
Sell: 0
Neutral: 1


Summary:Strong Buy
Moving AveragesApr 29, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1374.16
Buy
1374.36
Buy
MA10
1370.58
Buy
1372.75
Buy
MA20
1371.03
Buy
1370.26
Buy
MA50
1366.09
Buy
1377.17
Sell
MA100
1399.87
Sell
1396.91
Sell
MA200
1450.96
Sell
1425.06
Sell
Buy: 7
Sell: 5


Summary:Buy","Volume: 2,566,437
Bid/Ask: 1,376.40 / 1,376.70
Day's Range: 1,371.55 - 1,385.90"
2022-04-29 04:40:00.000046,"1,375.40 +4.05    +0.30%
00:39:15 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:Strong BuyBuy (9)Sell (0)
Pivot PointsApr 29, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1363.65
1369.05
1374.20
1379.60
1384.75
1390.15
1395.30
Fibonacci
1369.05
1373.08
1375.57
1379.60
1383.63
1386.12
1390.15
Camarilla
1376.45
1377.42
1378.38
1379.60
1380.32
1381.28
1382.25
Woodie's
1363.53
1368.99
1374.08
1379.54
1384.63
1390.09
1395.18
DeMark's
-
-
1371.62
1378.31
1382.18
-
-
Technical IndicatorsApr 29, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
58.376
Buy
STOCH(9,6)
48.535
Neutral
STOCHRSI(14)
78.535
Overbought
MACD(12,26)
2.330
Buy
ADX(14)
33.259
Buy
Williams %R
-35.165
Buy
CCI(14)
182.4485
Buy
ATR(14)
6.2036
Less Volatility
Highs/Lows(14)
3.3250
Buy
Ultimate Oscillator
54.390
Buy
ROC
0.397
Buy
Bull/Bear Power(13)
11.7740
Buy
Buy: 9
Sell: 0
Neutral: 1


Summary:Strong Buy
Moving AveragesApr 29, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
1374.16
Buy
1374.36
Buy
MA10
1370.58
Buy
1372.75
Buy
MA20
1371.03
Buy
1370.26
Buy
MA50
1366.09
Buy
1377.17
Sell
MA100
1399.87
Sell
1396.91
Sell
MA200
1450.96
Sell
1425.06
Sell
Buy: 7
Sell: 5


Summary:Buy","Volume: 2,583,888
Bid/Ask: 1,374.95 / 1,375.40
Day's Range: 1,371.55 - 1,385.90"
