utc_time,current_values,hr1_tech_content,secondary_data
2022-08-25 05:14:00.000077,"2,652.25 +12.50    +0.47%
01:13:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (2)
Pivot PointsAug 25, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
56.692
Buy
STOCH(9,6)
39.926
Sell
STOCHRSI(14)
37.853
Sell
MACD(12,26)
3.090
Buy
ADX(14)
33.380
Buy
Williams %R
-53.008
Neutral
CCI(14)
39.5013
Neutral
ATR(14)
11.7786
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
54.142
Buy
ROC
0.159
Buy
Bull/Bear Power(13)
12.7459
Buy
Buy: 6
Sell: 2
Neutral: 3


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2648.47
Buy
2650.18
Buy
MA10
2650.05
Buy
2647.23
Buy
MA20
2641.02
Buy
2643.71
Buy
MA50
2639.18
Buy
2632.21
Buy
MA100
2615.62
Buy
2610.80
Buy
MA200
2556.41
Buy
2577.58
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,007,818
Bid/Ask: 2,652.25 / 2,652.50
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:16:00.000051,"2,652.75 +13.00    +0.49%
01:14:16 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (2)
Pivot PointsAug 25, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
56.692
Buy
STOCH(9,6)
39.926
Sell
STOCHRSI(14)
37.853
Sell
MACD(12,26)
3.090
Buy
ADX(14)
33.380
Buy
Williams %R
-53.008
Neutral
CCI(14)
39.5013
Neutral
ATR(14)
11.7786
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
54.142
Buy
ROC
0.159
Buy
Bull/Bear Power(13)
12.7459
Buy
Buy: 6
Sell: 2
Neutral: 3


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2648.47
Buy
2650.18
Buy
MA10
2650.05
Buy
2647.23
Buy
MA20
2641.02
Buy
2643.71
Buy
MA50
2639.18
Buy
2632.21
Buy
MA100
2615.62
Buy
2610.80
Buy
MA200
2556.41
Buy
2577.58
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,008,966
Bid/Ask: 2,652.45 / 2,652.75
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:18:00.000050,"2,652.30 +12.55    +0.48%
01:17:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (2)
Pivot PointsAug 25, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
56.692
Buy
STOCH(9,6)
39.926
Sell
STOCHRSI(14)
37.853
Sell
MACD(12,26)
3.090
Buy
ADX(14)
33.380
Buy
Williams %R
-53.008
Neutral
CCI(14)
39.5013
Neutral
ATR(14)
11.7786
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
54.142
Buy
ROC
0.159
Buy
Bull/Bear Power(13)
12.7459
Buy
Buy: 6
Sell: 2
Neutral: 3


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2648.47
Buy
2650.18
Buy
MA10
2650.05
Buy
2647.23
Buy
MA20
2641.02
Buy
2643.71
Buy
MA50
2639.18
Buy
2632.21
Buy
MA100
2615.62
Buy
2610.80
Buy
MA200
2556.41
Buy
2577.58
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,031,476
Bid/Ask: 2,652.25 / 2,652.30
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:20:00.000050,"2,651.50 +11.75    +0.45%
01:19:39 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (2)
Pivot PointsAug 25, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
56.692
Buy
STOCH(9,6)
39.926
Sell
STOCHRSI(14)
37.853
Sell
MACD(12,26)
3.090
Buy
ADX(14)
33.380
Buy
Williams %R
-53.008
Neutral
CCI(14)
39.5013
Neutral
ATR(14)
11.7786
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
54.142
Buy
ROC
0.159
Buy
Bull/Bear Power(13)
12.7459
Buy
Buy: 6
Sell: 2
Neutral: 3


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2648.47
Buy
2650.18
Buy
MA10
2650.05
Buy
2647.23
Buy
MA20
2641.02
Buy
2643.71
Buy
MA50
2639.18
Buy
2632.21
Buy
MA100
2615.62
Buy
2610.80
Buy
MA200
2556.41
Buy
2577.58
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,037,324
Bid/Ask: 2,651.50 / 2,651.70
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:22:00.000051,"2,650.00 +10.25    +0.39%
01:21:30 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (3)
Pivot PointsAug 25, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
56.035
Buy
STOCH(9,6)
39.244
Sell
STOCHRSI(14)
33.115
Sell
MACD(12,26)
3.020
Buy
ADX(14)
33.405
Buy
Williams %R
-56.260
Sell
CCI(14)
34.8141
Neutral
ATR(14)
11.7822
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.066
Buy
ROC
0.121
Buy
Bull/Bear Power(13)
13.0800
Buy
Buy: 6
Sell: 3
Neutral: 2


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2648.27
Buy
2649.84
Buy
MA10
2649.95
Buy
2647.05
Buy
MA20
2640.97
Buy
2643.61
Buy
MA50
2639.16
Buy
2632.18
Buy
MA100
2615.61
Buy
2610.78
Buy
MA200
2556.41
Buy
2577.72
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,044,032
Bid/Ask: 2,650.00 / 2,650.60
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:24:00.000050,"2,649.50 +9.75    +0.37%
01:23:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (3)
Pivot PointsAug 25, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
56.035
Buy
STOCH(9,6)
39.244
Sell
STOCHRSI(14)
33.115
Sell
MACD(12,26)
3.020
Buy
ADX(14)
33.405
Buy
Williams %R
-56.260
Sell
CCI(14)
34.8141
Neutral
ATR(14)
11.7822
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.066
Buy
ROC
0.121
Buy
Bull/Bear Power(13)
13.0800
Buy
Buy: 6
Sell: 3
Neutral: 2


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2648.27
Buy
2649.84
Buy
MA10
2649.95
Buy
2647.05
Buy
MA20
2640.97
Buy
2643.61
Buy
MA50
2639.16
Buy
2632.18
Buy
MA100
2615.61
Buy
2610.78
Buy
MA200
2556.41
Buy
2577.72
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,058,683
Bid/Ask: 2,649.15 / 2,649.50
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:26:00.000050,"2,648.90 +9.15    +0.35%
01:25:26 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (3)
Pivot PointsAug 25, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
56.035
Buy
STOCH(9,6)
39.244
Sell
STOCHRSI(14)
33.115
Sell
MACD(12,26)
3.020
Buy
ADX(14)
33.405
Buy
Williams %R
-56.260
Sell
CCI(14)
34.8141
Neutral
ATR(14)
11.7822
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.066
Buy
ROC
0.121
Buy
Bull/Bear Power(13)
13.0800
Buy
Buy: 6
Sell: 3
Neutral: 2


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2648.27
Buy
2649.84
Buy
MA10
2649.95
Buy
2647.05
Buy
MA20
2640.97
Buy
2643.61
Buy
MA50
2639.16
Buy
2632.18
Buy
MA100
2615.61
Buy
2610.78
Buy
MA200
2556.41
Buy
2577.72
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,079,246
Bid/Ask: 2,648.50 / 2,648.55
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:28:00.000051,"2,649.05 +9.30    +0.35%
01:27:31 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (3)
Pivot PointsAug 25, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
56.035
Buy
STOCH(9,6)
39.244
Sell
STOCHRSI(14)
33.115
Sell
MACD(12,26)
3.020
Buy
ADX(14)
33.405
Buy
Williams %R
-56.260
Sell
CCI(14)
34.8141
Neutral
ATR(14)
11.7822
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.066
Buy
ROC
0.121
Buy
Bull/Bear Power(13)
13.0800
Buy
Buy: 6
Sell: 3
Neutral: 2


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2648.27
Buy
2649.84
Buy
MA10
2649.95
Buy
2647.05
Buy
MA20
2640.97
Buy
2643.61
Buy
MA50
2639.16
Buy
2632.18
Buy
MA100
2615.61
Buy
2610.78
Buy
MA200
2556.41
Buy
2577.72
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,089,724
Bid/Ask: 2,649.00 / 2,649.05
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:30:00.000045,"2,650.00 +10.25    +0.39%
01:29:36 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (3)
Pivot PointsAug 25, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
56.035
Buy
STOCH(9,6)
39.244
Sell
STOCHRSI(14)
33.115
Sell
MACD(12,26)
3.020
Buy
ADX(14)
33.405
Buy
Williams %R
-56.260
Sell
CCI(14)
34.8141
Neutral
ATR(14)
11.7822
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.066
Buy
ROC
0.121
Buy
Bull/Bear Power(13)
13.0800
Buy
Buy: 6
Sell: 3
Neutral: 2


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2648.27
Buy
2649.84
Buy
MA10
2649.95
Buy
2647.05
Buy
MA20
2640.97
Buy
2643.61
Buy
MA50
2639.16
Buy
2632.18
Buy
MA100
2615.61
Buy
2610.78
Buy
MA200
2556.41
Buy
2577.72
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,100,735
Bid/Ask: 2,649.90 / 2,649.95
Day's Range: 2,643.05 - 2,659.90"
2022-08-25 05:32:00.000048,"2,645.90 +6.15    +0.23%
01:31:27 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Buy
Moving Averages:Strong BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (6)Sell (3)
Pivot PointsAug 25, 2022 05:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2642.26
2647.23
2649.91
2654.88
2657.56
2662.53
2665.21
Fibonacci
2647.23
2650.15
2651.96
2654.88
2657.80
2659.61
2662.53
Camarilla
2650.50
2651.20
2651.90
2654.88
2653.30
2654.00
2654.70
Woodie's
2641.12
2646.66
2648.77
2654.31
2656.42
2661.96
2664.07
DeMark's
-
-
2648.57
2654.21
2656.23
-
-
Technical IndicatorsAug 25, 2022 05:30AM GMT
Name
Value
Action
RSI(14)
56.035
Buy
STOCH(9,6)
39.244
Sell
STOCHRSI(14)
33.115
Sell
MACD(12,26)
3.020
Buy
ADX(14)
33.294
Buy
Williams %R
-56.260
Sell
CCI(14)
32.5767
Neutral
ATR(14)
11.8143
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.302
Buy
ROC
0.121
Buy
Bull/Bear Power(13)
12.6300
Buy
Buy: 6
Sell: 3
Neutral: 2


Summary:Strong Buy
Moving AveragesAug 25, 2022 05:30AM GMT
Period
Simple
Exponential
MA5
2648.27
Buy
2649.84
Buy
MA10
2649.95
Buy
2647.05
Buy
MA20
2640.97
Buy
2643.61
Buy
MA50
2639.16
Buy
2632.18
Buy
MA100
2615.61
Buy
2610.78
Buy
MA200
2556.41
Buy
2577.72
Buy
Buy: 12
Sell: 0


Summary:Strong Buy","Volume: 1,115,735
Bid/Ask: 2,645.50 / 2,645.90
Day's Range: 2,643.05 - 2,659.90"
