utc_time,current_values,hr1_tech_content,secondary_data
2022-10-17 05:24:00.000091,"2,362.00 -8.70    -0.37%
01:23:33 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
43.192
Sell
STOCH(9,6)
30.889
Sell
STOCHRSI(14)
29.051
Sell
MACD(12,26)
-8.070
Sell
ADX(14)
28.375
Sell
Williams %R
-71.868
Sell
CCI(14)
-100.6142
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-14.1287
Sell
Ultimate Oscillator
36.133
Sell
ROC
-1.026
Sell
Bull/Bear Power(13)
-23.8259
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2362.04
Buy
2365.79
Sell
MA10
2378.93
Sell
2371.72
Sell
MA20
2380.82
Sell
2378.08
Sell
MA50
2391.14
Sell
2382.95
Sell
MA100
2385.38
Sell
2405.12
Sell
MA200
2453.07
Sell
2442.80
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,394,359
Bid/Ask: 2,362.00 / 2,362.25
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:26:00.000070,"2,362.75 -7.95    -0.34%
01:25:43 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
43.192
Sell
STOCH(9,6)
30.889
Sell
STOCHRSI(14)
29.051
Sell
MACD(12,26)
-8.070
Sell
ADX(14)
28.375
Sell
Williams %R
-71.868
Sell
CCI(14)
-100.6142
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-14.1287
Sell
Ultimate Oscillator
36.133
Sell
ROC
-1.026
Sell
Bull/Bear Power(13)
-23.8259
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2362.04
Buy
2365.79
Sell
MA10
2378.93
Sell
2371.72
Sell
MA20
2380.82
Sell
2378.08
Sell
MA50
2391.14
Sell
2382.95
Sell
MA100
2385.38
Sell
2405.12
Sell
MA200
2453.07
Sell
2442.80
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,405,298
Bid/Ask: 2,362.20 / 2,362.75
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:28:00.000069,"2,359.55 -11.15    -0.47%
01:27:22 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
43.192
Sell
STOCH(9,6)
30.889
Sell
STOCHRSI(14)
29.051
Sell
MACD(12,26)
-8.070
Sell
ADX(14)
28.375
Sell
Williams %R
-71.868
Sell
CCI(14)
-100.6142
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-14.1287
Sell
Ultimate Oscillator
36.133
Sell
ROC
-1.026
Sell
Bull/Bear Power(13)
-23.8259
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2362.04
Buy
2365.79
Sell
MA10
2378.93
Sell
2371.72
Sell
MA20
2380.82
Sell
2378.08
Sell
MA50
2391.14
Sell
2382.95
Sell
MA100
2385.38
Sell
2405.12
Sell
MA200
2453.07
Sell
2442.80
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,415,777
Bid/Ask: 2,359.55 / 2,359.85
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:30:00.000069,"2,361.15 -9.55    -0.40%
01:29:27 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
43.192
Sell
STOCH(9,6)
30.889
Sell
STOCHRSI(14)
29.051
Sell
MACD(12,26)
-8.070
Sell
ADX(14)
28.375
Sell
Williams %R
-71.868
Sell
CCI(14)
-100.6142
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-14.1287
Sell
Ultimate Oscillator
36.133
Sell
ROC
-1.026
Sell
Bull/Bear Power(13)
-23.8259
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2362.04
Buy
2365.79
Sell
MA10
2378.93
Sell
2371.72
Sell
MA20
2380.82
Sell
2378.08
Sell
MA50
2391.14
Sell
2382.95
Sell
MA100
2385.38
Sell
2405.12
Sell
MA200
2453.07
Sell
2442.80
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,426,093
Bid/Ask: 2,360.60 / 2,361.15
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:32:00.000061,"2,362.20 -8.50    -0.36%
01:31:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:30AM GMT
Name
Value
Action
RSI(14)
42.682
Sell
STOCH(9,6)
30.584
Sell
STOCHRSI(14)
27.254
Sell
MACD(12,26)
-8.150
Sell
ADX(14)
28.375
Sell
Williams %R
-73.515
Sell
CCI(14)
-102.1521
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-15.2786
Sell
Ultimate Oscillator
35.268
Sell
ROC
-1.074
Sell
Bull/Bear Power(13)
-23.4979
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:30AM GMT
Period
Simple
Exponential
MA5
2361.81
Buy
2365.40
Sell
MA10
2378.81
Sell
2371.51
Sell
MA20
2380.76
Sell
2377.97
Sell
MA50
2391.12
Sell
2382.90
Sell
MA100
2385.37
Sell
2405.10
Sell
MA200
2453.07
Sell
2442.79
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,446,094
Bid/Ask: 2,362.10 / 2,362.20
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:34:00.000068,"2,363.00 -7.70    -0.32%
01:33:24 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:30AM GMT
Name
Value
Action
RSI(14)
42.682
Sell
STOCH(9,6)
30.584
Sell
STOCHRSI(14)
27.254
Sell
MACD(12,26)
-8.150
Sell
ADX(14)
28.375
Sell
Williams %R
-73.515
Sell
CCI(14)
-102.1521
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-15.2786
Sell
Ultimate Oscillator
35.268
Sell
ROC
-1.074
Sell
Bull/Bear Power(13)
-23.4979
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:30AM GMT
Period
Simple
Exponential
MA5
2361.81
Buy
2365.40
Sell
MA10
2378.81
Sell
2371.51
Sell
MA20
2380.76
Sell
2377.97
Sell
MA50
2391.12
Sell
2382.90
Sell
MA100
2385.37
Sell
2405.10
Sell
MA200
2453.07
Sell
2442.79
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,453,304
Bid/Ask: 2,362.70 / 2,363.00
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:36:00.000066,"2,364.50 -6.20    -0.26%
01:34:59 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:30AM GMT
Name
Value
Action
RSI(14)
42.682
Sell
STOCH(9,6)
30.584
Sell
STOCHRSI(14)
27.254
Sell
MACD(12,26)
-8.150
Sell
ADX(14)
28.375
Sell
Williams %R
-73.515
Sell
CCI(14)
-102.1521
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-15.2786
Sell
Ultimate Oscillator
35.268
Sell
ROC
-1.074
Sell
Bull/Bear Power(13)
-23.4979
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:30AM GMT
Period
Simple
Exponential
MA5
2361.81
Buy
2365.40
Sell
MA10
2378.81
Sell
2371.51
Sell
MA20
2380.76
Sell
2377.97
Sell
MA50
2391.12
Sell
2382.90
Sell
MA100
2385.37
Sell
2405.10
Sell
MA200
2453.07
Sell
2442.79
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,462,691
Bid/Ask: 2,364.50 / 2,364.70
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:38:00.000067,"2,364.00 -6.70    -0.28%
01:37:27 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:30AM GMT
Name
Value
Action
RSI(14)
42.682
Sell
STOCH(9,6)
30.584
Sell
STOCHRSI(14)
27.254
Sell
MACD(12,26)
-8.150
Sell
ADX(14)
28.375
Sell
Williams %R
-73.515
Sell
CCI(14)
-102.1521
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-15.2786
Sell
Ultimate Oscillator
35.268
Sell
ROC
-1.074
Sell
Bull/Bear Power(13)
-23.4979
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:30AM GMT
Period
Simple
Exponential
MA5
2361.81
Buy
2365.40
Sell
MA10
2378.81
Sell
2371.51
Sell
MA20
2380.76
Sell
2377.97
Sell
MA50
2391.12
Sell
2382.90
Sell
MA100
2385.37
Sell
2405.10
Sell
MA200
2453.07
Sell
2442.79
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 1,479,579
Bid/Ask: 2,364.00 / 2,364.05
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:40:00.000073,"2,363.95 -6.75    -0.28%
01:39:42 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:30AM GMT
Name
Value
Action
RSI(14)
42.682
Sell
STOCH(9,6)
30.584
Sell
STOCHRSI(14)
27.254
Sell
MACD(12,26)
-8.150
Sell
ADX(14)
28.375
Sell
Williams %R
-73.515
Sell
CCI(14)
-102.1521
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-15.2786
Sell
Ultimate Oscillator
35.268
Sell
ROC
-1.074
Sell
Bull/Bear Power(13)
-23.4979
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:30AM GMT
Period
Simple
Exponential
MA5
2361.81
Buy
2365.40
Sell
MA10
2378.81
Sell
2371.51
Sell
MA20
2380.76
Sell
2377.97
Sell
MA50
2391.12
Sell
2382.90
Sell
MA100
2385.37
Sell
2405.10
Sell
MA200
2453.07
Sell
2442.79
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 4,396,132
Bid/Ask: 2,363.20 / 2,363.95
Day's Range: 2,343.60 - 2,368.20"
2022-10-17 05:42:00.000067,"2,364.50 -6.20    -0.26%
01:41:32 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (0)Sell (11)
Pivot PointsOct 17, 2022 05:40AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2328.91
2336.98
2346.61
2354.68
2364.31
2372.38
2382.01
Fibonacci
2336.98
2343.74
2347.92
2354.68
2361.44
2365.62
2372.38
Camarilla
2351.38
2353.01
2354.63
2354.68
2357.87
2359.49
2361.12
Woodie's
2329.71
2337.38
2347.41
2355.08
2365.11
2372.78
2382.81
DeMark's
-
-
2350.65
2356.70
2368.35
-
-
Technical IndicatorsOct 17, 2022 05:40AM GMT
Name
Value
Action
RSI(14)
42.727
Sell
STOCH(9,6)
30.611
Sell
STOCHRSI(14)
27.413
Sell
MACD(12,26)
-8.150
Sell
ADX(14)
28.375
Sell
Williams %R
-73.371
Sell
CCI(14)
-102.0185
Sell
ATR(14)
14.0321
High Volatility
Highs/Lows(14)
-15.1785
Sell
Ultimate Oscillator
35.343
Sell
ROC
-1.070
Sell
Bull/Bear Power(13)
-23.5259
Sell
Buy: 0
Sell: 11
Neutral: 0


Summary:Strong Sell
Moving AveragesOct 17, 2022 05:40AM GMT
Period
Simple
Exponential
MA5
2361.83
Buy
2365.44
Sell
MA10
2378.82
Sell
2371.53
Sell
MA20
2380.77
Sell
2377.98
Sell
MA50
2391.12
Sell
2382.90
Sell
MA100
2385.37
Sell
2405.10
Sell
MA200
2453.07
Sell
2442.79
Sell
Buy: 1
Sell: 11


Summary:Strong Sell","Volume: 4,402,074
Bid/Ask: 2,364.10 / 2,364.50
Day's Range: 2,343.60 - 2,368.20"
