utc_time,current_values,hr1_tech_content,secondary_data
2022-10-28 04:36:00.000083,,,
2022-10-28 04:38:00.000056,,,
2022-10-28 04:40:00.000049,,,
2022-10-28 04:42:00.000055,,,
2022-10-28 04:44:00.000055,,,
2022-10-28 04:46:00.000049,,,
2022-10-28 04:48:00.000053,,,
2022-10-28 04:50:00.000053,,,
2022-10-28 04:52:00.000048,,,
2022-10-28 04:54:00.000046,,,
2022-10-28 04:56:00.000053,,,
2022-10-28 04:58:00.000049,,,
2022-10-28 05:00:00.000051,,,
2022-10-28 05:02:00.000050,,,
2022-10-28 05:04:00.000048,,,
2022-10-28 05:06:00.000046,,,
2022-10-28 05:08:00.000052,,,
2022-10-28 05:10:00.000050,,,
2022-10-28 05:12:00.000046,,,
2022-10-28 05:14:00.000051,,,
2022-10-28 05:16:00.000054,,,
2022-10-28 05:18:00.000049,,,
2022-10-28 05:20:00.000053,,,
2022-10-28 05:22:00.000055,,,
2022-10-28 05:24:00.000046,,,
2022-10-28 05:26:00.000048,,,
2022-10-28 05:28:00.000050,,,
2022-10-28 05:30:00.000065,,,
2022-10-28 05:32:00.000052,,,
2022-10-28 05:34:00.000055,,,
2022-10-28 05:36:00.000066,,,
2022-10-28 05:38:00.000054,,,
2022-10-28 05:40:00.000057,,,
2022-10-28 05:42:00.000058,,,
2022-10-28 05:44:00.000055,,,
2022-10-28 05:46:00.000059,,,
2022-10-28 05:48:00.000054,,,
2022-10-28 05:50:00.000054,,,
2022-10-28 05:52:00.000061,,,
2022-10-28 05:54:00.000056,,,
2022-10-28 05:56:00.000053,,,
2022-10-28 05:58:00.000056,,,
2022-10-28 06:00:00.000061,,,
2022-10-28 06:02:00.000056,,,
2022-10-28 06:04:00.000054,,,
2022-10-28 06:06:00.000052,,,
2022-10-28 06:08:00.000146,,,
2022-10-28 06:10:00.000050,,,
2022-10-28 06:12:00.000049,,,
2022-10-28 06:14:00.000051,,,
2022-10-28 06:16:00.000048,,,
2022-10-28 06:18:00.000048,,,
2022-10-28 06:20:00.000049,,,
2022-10-28 06:22:00.000054,,,
2022-10-28 06:24:00.000051,,,
2022-10-28 06:26:00.000049,,,
2022-10-28 06:28:00.000053,,,
2022-10-28 06:30:00.000048,,,
2022-10-28 06:32:00.000049,,,
2022-10-28 06:34:00.000053,,,
2022-10-28 06:36:00.000054,,,
2022-10-28 06:38:00.000052,,,
2022-10-28 06:40:00.000051,,,
2022-10-28 06:42:00.000050,,,
2022-10-28 06:44:00.000050,,,
2022-10-28 06:46:00.000059,,,
2022-10-28 06:48:00.000048,,,
2022-10-28 06:50:00.000050,,,
2022-10-28 06:52:00.000060,,,
2022-10-28 06:54:00.000054,,,
2022-10-28 06:56:00.000050,,,
2022-10-28 06:58:00.000051,,,
2022-10-28 07:00:00.000435,,,
2022-10-28 07:02:00.000062,,,
2022-10-28 07:04:00.000055,,,
2022-10-28 07:06:00.000059,,,
2022-10-28 07:08:00.000054,,,
2022-10-28 07:10:00.000054,,,
2022-10-28 07:12:00.000056,,,
2022-10-28 07:14:00.000056,,,
2022-10-28 07:16:00.000059,,,
2022-10-28 07:18:00.000055,,,
